uo_cod;descricao;sigla;uo_de_fundo;fundo_id
74000;Operações Oficiais de Crédito;;não;
74101;Recursos sob Supervisão da Secretaria do Tesouro Nacional - Ministério da Fazenda;;não;
74102;Recursos sob Supervisão do Ministério da Fazenda;;não;
74104;Recursos sob Supervisão do Ministério da Agricultura e Pecuária;;não;
74119;Recursos sob Supervisão do Ministério do Desenvolvimento Agrário e Agricultura Familiar;;não;
74120;Recursos sob Supervisão do Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte;;não;
74201;Recursos sob Supervisão da Superintendência de Seguros Privados/SUSEP - Ministério da Fazenda;;não;
74202;Recursos sob Supervisão da Agência Nacional de Saúde Suplementar;;não;
74203;Recursos sob Supervisão do Instituto Nacional de Colonização e Reforma Agrária/INCRA-MDA;;não;
74204;Recursos sob Supervisão da Caixa de Construções de Casas para o Pessoal da Marinha;;não;
74205;Recursos sob Supervisão da Caixa de Financiamento Imobiliário da Aeronáutica;;não;
74901;Recursos sob Supervisão do Fundo de Defesa da Economia Cafeeira/Funcafé - M. Agric. e Pec.;;sim;FUNCAFE
74902;Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior - Min. da Educação;;sim;FIES
74904;Recursos sob Supervisão do Fundo da Marinha Mercante/FMM - M. de Portos e Aeroportos;FMM;sim;FMM
74905;Recursos sob Sup. do Fundo p/ Desenv. Tecnol. das Telecomunic./FUNTTEL - M. Comunicações;;sim;FUNTTEL
74906;Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra - MDA;;sim;BTERRA
74908;Recursos sob Supervisão do Fundo Geral de Turismo - Ministério do Turismo;;sim;FUNGETUR
74910;Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico - Min.Ciência,Tecnol. e Inov.;;sim;FNDCT
74912;Recursos sob Supervisão do Fundo Nacional de Cultura;;sim;FNC
74913;Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO - MDR;FNO;sim;FNO
74914;Recursos sob Supervisão do Fundo Constitucional de Financiamento do Centro-Oeste/FCO - MDR;FCO;sim;FCO
74915;Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE - MDR;FNE;sim;FNE
74916;Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA;;sim;FNMC
74917;Recursos sob Supervisão do Fundo de Desenvolvimento da Amazônia/FDA - MDR;FDA;sim;FDA
74918;Recursos sob Supervisão do Fundo de Desenvolvimento do Nordeste/FDNE - MDR;FDNE;sim;FDNE
74919;Recursos sob Supervisão do Fundo de Desenvolvimento do CentroOeste/FDCO;MDRFDCO;sim;FDCO
74920;Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST - M. Comunicações;;sim;FUST
74921;Recursos sob Supervisão do Fundo Nacional de Investimento em Infraestrutura Social (FIIS)/PR;FIIS;sim;FIIS
75000;Dívida Pública Federal;;não;
75101;Recursos sob Supervisão do Ministério da Fazenda;;não;
81000;Ministério dos Direitos Humanos e da Cidadania;MDH;não;
81101;Ministério dos Direitos Humanos e da Cidadania - Administração Direta;MDH/AdmD;não;
81901;Fundo Nacional para a Criança e o Adolescente;FNCA;sim;FNCA
81902;Fundo Nacional do Idoso;FNI;sim;FNI
83000;Banco Central do Brasil;BCB;não;
83201;Banco Central do Brasil - BACEN;;não;
84000;Ministério dos Povos Indígenas;;não;
84101;Ministério dos Povos Indígenas - Administração Direta;;não;
84201;Fundação Nacional dos Povos Indígenas - FUNAI;;não;
90000;Reserva de Contingência - nº 13.848, de 25 de junho de 2019. art. 51, ambos da Lei nº 13.848, de 25 de junho de 2019.;;não;
