uo_cod;descricao;sigla;uo_de_fundo;fundo_id
24204;Comissão Nacional de Energia Nuclear;CNEN;não;
24205;Agência Espacial Brasileira;AEB;não;
24209;Centro Nacional de Tecnologia Eletrônica Avançada - S.A.;CEITEC;não;
24901;Fundo Nacional de Desenvolvimento Científico e Tecnológico;FNDCT;sim;FNDCT
25000;Ministério da Fazenda;MF;não;
25101;Ministério da Fazenda - Administração Direta;MF/AdmD;não;
25103;Secretaria Especial da Receita Federal do Brasil;RFB;não;
25104;Procuradoria-Geral da Fazenda Nacional;PGFN;não;
25203;Comissão de Valores Mobiliários;CVM;não;
25208;Superintendência de Seguros Privados;SUSEP;não;
25903;Fundo de Compensação e Variações Salariais;FCVS;sim;FCVS
26000;Ministério da Educação;MEC;não;
26101;Ministério da Educação - Administração Direta;MEC/AdmD;não;
26104;Instituto Nacional de Educação de Surdos;INES;não;
26105;Instituto Benjamin Constant;IBC;não;
26201;Colégio Pedro II;CPII;não;
26230;Fundação Universidade Federal do Vale do São Francisco Univasf;;não;
26231;Universidade Federal de Alagoas;UFAL;não;
26232;Universidade Federal da Bahia;UFBA;não;
26233;Universidade Federal do Ceará;UFCE;não;
26234;Universidade Federal do Espírito Santo;UFES;não;
26235;Universidade Federal de Goiás;UFGO;não;
26236;Universidade Federal Fluminense;UFF;não;
26237;Universidade Federal de Juiz de Fora;UFJF;não;
26238;Universidade Federal de Minas Gerais;UFMG;não;
26239;Universidade Federal do Pará;UFPA;não;
26240;Universidade Federal da Paraíba;UFPB;não;
26241;Universidade Federal do Paraná;UFPR;não;
26242;Universidade Federal de Pernambuco;UFPE;não;
26243;Universidade Federal do Rio Grande do Norte;UFRN;não;
26244;Universidade Federal do Rio Grande do Sul;UFRS;não;
26245;Universidade Federal do Rio de Janeiro;UFRJ;não;
26246;Universidade Federal de Santa Catarina;UFSC;não;
26247;Universidade Federal de Santa Maria;UFSM;não;
26248;Universidade Federal Rural de Pernambuco;UFRPE;não;
26249;Universidade Federal Rural do Rio de Janeiro;UFRRJ;não;
26250;Fundação Universidade Federal de Roraima;UFRR;não;
26251;Fundação Universidade Federal do Tocantins;UFTO;não;
26252;Universidade Federal de Campina Grande;UFCG;não;
26253;Universidade Federal Rural da Amazônia;UFRA;não;
26254;Universidade Federal do Triângulo Mineiro;UFTM;não;
26255;Universidade Federal dos Vales do Jequitinhonha e Mucuri;UFVJM;não;
26256;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;CEFET-RJ;não;
26257;Centro Federal de Educação Tecnológica de Minas Gerais;CEFET-MG;não;
26258;Universidade Tecnológica Federal do Paraná;UTFPR;não;
26260;Universidade Federal de Alfenas;UNIFAL;não;
26261;Universidade Federal de Itajubá;UNIFEI;não;
26262;Universidade Federal de São Paulo;UNIFESP;não;
26263;Universidade Federal de Lavras;UFLA;não;
26264;Universidade Federal Rural do Semi-Árido;UFERSA-RN;não;
26266;Fundação Universidade Federal do Pampa;UNIPAMPA;não;
26267;Universidade Federal da Integração Latino-Americana;UNILA;não;
26268;Fundação Universidade Federal de Rondônia;UNIR;não;
26269;Fundação Universidade do Rio de Janeiro;UFRJ;não;
26270;Fundação Universidade do Amazonas;UFAM;não;
26271;Fundação Universidade de Brasília;FUB;não;
26272;Fundação Universidade Federal do Maranhão;UFMA;não;
26273;Fundação Universidade Federal do Rio Grande;FURG;não;
26274;Universidade Federal de Uberlândia;UFU;não;
26275;Fundação Universidade Federal do Acre;FUFAC;não;
26276;Fundação Universidade Federal de Mato Grosso;UFMT;não;
26277;Fundação Universidade Federal de Ouro Preto;UFOP;não;
26278;Fundação Universidade Federal de Pelotas;UFPel;não;
26279;Fundação Universidade Federal do Piauí;UFPI;não;
26280;Fundação Universidade Federal de São Carlos;UFSCar;não;
26281;Fundação Universidade Federal de Sergipe;UFS;não;
26282;Fundação Universidade Federal de Viçosa;UFV;não;
26283;Fundação Universidade Federal de Mato Grosso do Sul;UFMS;não;
26284;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;UFCSPA;não;
26285;Fundação Universidade Federal de São João del-Rei;UFSJ;não;
26286;Fundação Universidade Federal do Amapá;UNIFAP;não;
26290;Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;INEP;não;
26291;Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior;CAPES;não;
26292;Fundação Joaquim Nabuco Fundaj;;não;
26294;Hospital de Clínicas de Porto Alegre;HCPA;não;
26298;Fundo Nacional de Desenvolvimento da Educação;FNDE;sim;FNDE
26350;Fundação Universidade Federal da Grande Dourados;UFGD;não;
26351;Universidade Federal do Recôncavo da Bahia;UFRB;não;
26352;Fundação Universidade Federal do ABC;UFABC;não;
26358;Hospital Universitário Prof. Alberto Antunes;HUPAA-UFAL;não;
26359;Complexo Hospitalar e de Saúde da Universidade Federal da Bahia;HUPES-UFBA;não;
26362;Hospital Universitário Walter Cantídio;HUWC-UFC;não;
26363;Maternidade-Escola Assis Chateaubriand;MEAC-UFC;não;
26364;Hospital Universitário Cassiano Antônio Moraes;HUCAM-UFES;não;
26365;Hospital das Clínicas da Universidade Federal de Goiás;HC-UFG;não;
26366;Hospital Universitário Antônio Pedro;HUAP-UFF;não;
26367;Hospital Universitário da Universidade Federal de Juiz de Fora;HU-UFJF;não;
26368;Hospital das Clínicas da Universidade Federal de Minas Gerais;HC-UFMG;não;
26369;Hospital Universitário João de Barros Barreto;HUJBB-UFPA;não;
26370;Hospital Universitário Bettina Ferro Souza;HUBFS-UFPA;não;
26371;Hospital Universitário Lauro Wanderley;HULW-UFPB;não;
26372;Hospital de Clínicas da Universidade Federal do Paraná;HC-UFPR;não;
26373;Hospital das Clínicas da Universidade Federal de Pernambuco;HC-UFPE;não;
26374;Complexo Hospitalar e de Saúde da Universidade Federal do Rio Grande do Norte;CHS-UFRN;não;
26378;Complexo Hospitalar e de Saúde da Universidade Federal do Rio de Janeiro;CHS-UFRJ;não;
26385;Hospital Universitário da Universidade Federal da Grande Dourados;HU-UFGD;não;
26386;Hospital Universitário Prof. Polydoro Ernani de São Thiago;HU-UFSC;não;
26387;Hospital Universitário de Santa Maria;HUSM-UFSM;não;
26388;Hospital Universitário Alcides Carneiro;HUAC-UFCG;não;
26389;Hospital de Clínicas da Universidade Federal do Triângulo Mineiro;HC-UFTM;não;
26391;Hospital Universitário Gaffrée e Guinle;HUGG-Unirio;não;
26392;Hospital Universitário Getúlio Vargas;HUGV-UFAM;não;
26393;Hospital Universitário de Brasília;HUB-UnB;não;
26394;Hospital Universitário da Fundação Universidade do Maranhão;HU-UFMA;não;
26395;Hospital Universitário Dr. Miguel Riet Corrêa Jr.;HU-FURG;não;
26396;Hospital de Clínicas da Universidade Federal de Uberlândia;HC-UFU;não;
26397;Hospital Júlio Muller;HUJM-UFMT;não;
26398;Hospital das Clínicas da Fundação Universidade Federal de Pelotas;HE-UFPel;não;
26399;Hospital Universitário da Fundação Universidade Federal do Piauí;HU-UFPI;não;
26400;Hospital Universitário da Fundação Universidade Federal de Sergipe;HU-UFS;não;
26401;Hospital Universitário Maria Pedrossian;HUMAP-UFMS;não;
26402;Instituto Federal de Alagoas;IFAL;não;
26403;Instituto Federal do Amazonas;IFAM;não;
26404;Instituto Federal Baiano IF Baiano;;não;
