"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2020;"30907";"Fundo Penitenciário Nacional";"188";"Recursos Financeiros de Livre Aplicação";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;570000;920000;920000;0;0
2020;"52921";"Fundo do Exército";"280";"Recursos Próprios Financeiros";"0";"Financeira";"9";"Reserva de Contingência";74615563;74615563;74615563;0;0;0
2020;"20927";"Fundo de Imprensa Nacional";"150";"Recursos Próprios Primários de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";1800000;1800000;917404;763749;320650;320650
2020;"74917";"Recursos sob Supervisão do Fundo de Desenvolvimento da Amazônia/FDA - M. Desenvolv. Regional";"280";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";354513699;354513699;354513699;354513699;0;0
2020;"55903";"Fundo Nacional de Cultura";"188";"Recursos Financeiros de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;250000;247779;0;0;0
2020;"39901";"Fundo da Marinha Mercante - FMM";"180";"Recursos Próprios Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";5e+06;5e+06;5e+06;5e+06;0;0
2020;"24907";"Fundo para o Desenvolvimento Tecnológico das Telecomunicações - FUNTTEL";"172";"Outras Contribuições Econômicas";"9";"Primária discricionária, decorrente de emendas de relator-geral do PLOA, excluídas as de ordem técnica, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;15259703;1.6e+07;1.6e+07;15650752;15650752
2020;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"186";"Recursos Vinculados a Aplicações em Políticas Públicas Específicas";"2";"Primária discricionária, considerada no cálculo do RP";"5";"Inversões Financeiras";386066742;386066742;386066742;386066742;386066742;386066742
2020;"26298";"Fundo Nacional de Desenvolvimento da Educação";"151";"Recursos Livres da Seguridade Social";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1084057;1065801;1065801;1056202;1056202;1056077
2020;"52901";"Fundo do Ministério da Defesa";"280";"Recursos Próprios Financeiros";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";50000;50000;47998;38605;17982;17982
2020;"55903";"Fundo Nacional de Cultura";"188";"Recursos Financeiros de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";0;250000;239992;0;0;0
2020;"30907";"Fundo Penitenciário Nacional";"118";"Receitas de Concursos de Prognósticos";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";163767991;163764623;140326856;119798220;60685993;60627938
2020;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"323";"Contribuição para o Custeio das Pensões Militares";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";0;0;42198822;42198822;42198822;42198822
2020;"36901";"Fundo Nacional de Saúde";"342";"Compensações Financeiras pela Produção de Petróleo, Gás Natural e Outros Hidrocarbonetos Fluidos";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;30268410;30268410;30268410;30268410
2020;"30912";"Fundo Nacional Antidrogas";"150";"Recursos Próprios Primários de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1.6e+07;6e+06;2966567;2778571;164815;164815
2020;"74906";"Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra - MAPA";"180";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";169008042;169008042;169008042;169008042;169008042;169008042
2020;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, considerada no cálculo do RP";"5";"Inversões Financeiras";0;50000;50000;50000;50000;50000
2020;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"188";"Recursos Financeiros de Livre Aplicação";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;2570000;770000;3e+05;3e+05;0
2020;"52931";"Fundo Naval";"188";"Recursos Financeiros de Livre Aplicação";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;2196000;1970000;1974842;1222105;1006004
2020;"52931";"Fundo Naval";"250";"Recursos Próprios Primários de Livre Aplicação";"0";"Financeira";"9";"Reserva de Contingência";161255188;161255188;161255188;0;0;0
2020;"25915";"Fundo de Amparo ao Trabalhador";"140";"Contribuições para os Programas PIS/PASEP";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";46944525463;46944525463;40613309281;39876077437;39847781244;39847781244
2020;"36901";"Fundo Nacional de Saúde";"300";"Recursos Primários de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;22700000;22700000;20304523;0
2020;"26298";"Fundo Nacional de Desenvolvimento da Educação";"113";"Contribuição do Salário-Educação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";2320369624;2313180000;1017542793;1003382572;562352284;560552284
2020;"30905";"Fundo de Defesa de Direitos Difusos";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"9";"Primária discricionária, decorrente de emendas de relator-geral do PLOA, excluídas as de ordem técnica, considerada no cálculo do RP";"4";"Investimentos";0;131840580;86516761;78176045;19578801;19578801
2020;"30907";"Fundo Penitenciário Nacional";"300";"Recursos Primários de Livre Aplicação";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";0;0;37170000;152901;152901;152901
2020;"36901";"Fundo Nacional de Saúde";"188";"Recursos Financeiros de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"9";"Reserva de Contingência";8077671359;0;0;0;0;0
2020;"25917";"Fundo do Regime Geral de Previdência Social";"150";"Recursos Próprios Primários de Livre Aplicação";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";74897246;74897246;74897246;74897246;74897246;74897246
2020;"52932";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"176";"Outras Contribuições Sociais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";2315000;2315000;4187293;4180381;1385184;1339345
2020;"36901";"Fundo Nacional de Saúde";"188";"Recursos Financeiros de Livre Aplicação";"7";"Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP";"4";"Investimentos";0;218626508;216408354;208871223;158855476;158855476
2020;"55903";"Fundo Nacional de Cultura";"118";"Receitas de Concursos de Prognósticos";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";13250000;0;0;0;0;0
2020;"22906";"Fundo de Defesa da Economia Cafeeira";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";424468;424468;407476;407454;0;0
