"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2019;"26298";"Fundo Nacional de Desenvolvimento da Educação";"129";"Recursos de Concessões e Permissões";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;2266359990;2266359990;1865885330;1865885330
2019;"30907";"Fundo Penitenciário Nacional";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;8652253;8541471;8541471;8538567
2019;"52911";"Fundo Aeronáutico";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";229997426;229997426;191228891;191055974;102992255;102555403
2019;"74912";"Recursos sob Supervisão do Fundo Nacional de Cultura";"118";"Receitas de Concursos de Prognósticos";"0";"Financeira";"5";"Inversões Financeiras";2.7e+07;2.7e+07;2.7e+07;0;0;0
2019;"25915";"Fundo de Amparo ao Trabalhador";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";40300146;0;240300146;239500146;239500146;239500146
2019;"39902";"Fundo Nacional de Aviação Civil - FNAC";"280";"Recursos Próprios Financeiros";"0";"Financeira";"9";"Reserva de Contingência";1034294927;1034294927;1034294927;0;0;0
2019;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"156";"Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";140349019;140349019;127264400;127264400;127264387;127264387
2019;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"178";"Fundo de Fiscalização das Telecomunicações";"0";"Financeira";"9";"Reserva de Contingência";14116272;14116272;14116272;0;0;0
2019;"42902";"Fundo Nacional de Cultura";"178";"Fundo de Fiscalização das Telecomunicações";"0";"Financeira";"9";"Reserva de Contingência";0;36704039;0;0;0;0
2019;"26298";"Fundo Nacional de Desenvolvimento da Educação";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";633576661;771696376;677474200;647104349;478092617;474696704
2019;"74906";"Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra - MAPA";"180";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";236354453;236354453;236354453;236354453;183594914;183594914
2019;"39905";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"0";"Financeira";"9";"Reserva de Contingência";424298678;0;424298678;0;0;0
2019;"42902";"Fundo Nacional de Cultura";"118";"Receitas de Concursos de Prognósticos";"0";"Financeira";"9";"Reserva de Contingência";0;477658502;0;0;0;0
2019;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"280";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";1920430638;1920430638;1920430638;1920430638;390038226;390038226
2019;"55903";"Fundo Nacional de Cultura";"130";"Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional";"0";"Financeira";"5";"Inversões Financeiras";6.5e+08;0;6.5e+08;6.5e+08;0;0
2019;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"134";"Compensações Financeiras pela Utilização de Recursos Hídricos";"0";"Financeira";"9";"Reserva de Contingência";88501453;88501453;88501453;0;0;0
2019;"74915";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE - M. Desenvolv. Regional";"301";"Transferências do Imposto sobre a Renda e sobre Produtos Industrializados";"0";"Financeira";"5";"Inversões Financeiras";0;0;116019980;116019980;116019980;116019980
2019;"52911";"Fundo Aeronáutico";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;250000;250000;249990;1155;1155
2019;"82902";"Fundo Nacional de Segurança Pública";"118";"Receitas de Concursos de Prognósticos";"7";"Emenda de bancada estadual";"4";"Investimentos";0;20234625;0;0;0;0
