"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2017;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";3e+06;3e+06;3e+06;1696347;1696347;1696347
2017;"39902";"Fundo Nacional de Aviação Civil - FNAC";"186";"Recursos Vinculados a Aplicações em Políticas Públicas Específicas";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";11848464;11848464;4843404;4818321;3433375;3433375
2017;"30912";"Fundo Nacional Antidrogas";"139";"Alienação de Bens Apreendidos";"0";"Financeira";"9";"Reserva de Contingência";3128590;3128590;3128590;0;0;0
2017;"52931";"Fundo Naval";"280";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";29175634;29175634;29175634;29806932;10816030;10798775
2017;"55901";"Fundo Nacional de Assistência Social";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";100405985;98286181;146725455;138107299;130107299;130107299
2017;"56902";"Fundo Nacional de Habitação de Interesse Social - FNHIS";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"7";"Emenda de bancada estadual";"4";"Investimentos";0;39686555;39686555;24480685;0;0
2017;"74906";"Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra - Presidência da República";"144";"Títulos de Responsabilidade do Tesouro Nacional - Outras Aplicações";"0";"Financeira";"5";"Inversões Financeiras";192207380;192207380;107736041;0;0;0
2017;"74913";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO - Min Integração Nacional";"901";"Transferências do Imposto sobre a Renda e sobre Produtos Industrializados";"0";"Financeira";"5";"Inversões Financeiras";0;39540000;0;0;0;0
2017;"52911";"Fundo Aeronáutico";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";1400000;1400000;12546588;12671833;2899829;2899829
2017;"26298";"Fundo Nacional de Desenvolvimento da Educação";"156";"Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";95474;95474;95474;94783;94783;94783
2017;"44901";"Fundo Nacional de Meio Ambiente - FNMA";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";655000;655000;655000;573664;549118;549118
2017;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"144";"Títulos de Responsabilidade do Tesouro Nacional - Outras Aplicações";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";793800000;793800000;793800000;716215064;550880440;550880440
2017;"52921";"Fundo do Exército";"250";"Recursos Próprios Não-Financeiros";"0";"Financeira";"9";"Reserva de Contingência";31314902;31314902;31314902;0;0;0
2017;"40901";"Fundo de Amparo ao Trabalhador";"140";"Contribuições para os Programas PIS/PASEP";"0";"Financeira";"5";"Inversões Financeiras";16539981184;16539981184;16539981184;16539981184;15702034664;15702034664
2017;"44902";"Fundo Nacional sobre Mudança do Clima";"280";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";3e+06;3e+06;3e+06;2245185;1686407;1686407
2017;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"169";"Contribuição Patronal para o Plano de Seguridade Social do Servidor Público";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";216837796;216837796;177233932;177233932;177233932;177233932
2017;"36901";"Fundo Nacional de Saúde";"180";"Recursos Próprios Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";14080411;14080411;4180411;4180411;4136323;4136323
2017;"39902";"Fundo Nacional de Aviação Civil - FNAC";"650";"Recursos Próprios Não-Financeiros";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";0;0;451193000;451193000;451193000;451193000
2017;"52931";"Fundo Naval";"263";"Recursos Próprios Decorrentes da Alienação de Bens e Direitos do Patrimônio Público";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";106366;106366;106366;105861;52554;52554
2017;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";31104058;30447380;29771432;29703516;28387405;28360303
2017;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"134";"Compensações Financeiras pela Utilização de Recursos Hídricos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";24900000;24900000;24900000;22739254;22241476;22241476
2017;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"150";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";480000;480000;480000;480000;480000;480000
2017;"14901";"Fundo Partidário";"100";"Recursos Ordinários";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";218602329;218602329;218602329;218602329;215301366;215301366
2017;"52901";"Fundo do Ministério da Defesa";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1232024;1232024;1232024;1232024;1227481;1227481
2017;"55901";"Fundo Nacional de Assistência Social";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;67180508;63510508;43314540;0;0
2017;"74919";"Recursos sob Supervisão do Fundo de Desenvolvimento do Centro-Oeste/FDCO - Min Integração Nacional";"280";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";20755493;20755493;20755493;20755493;0;0
2017;"52903";"Fundo do Serviço Militar";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";838660;838660;838660;835310;558676;499736
2017;"52921";"Fundo do Exército";"650";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;9e+06;9e+06;0;0
2017;"26298";"Fundo Nacional de Desenvolvimento da Educação";"112";"Recursos Destinados à Manutenção e Desenvolvimento do Ensino";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";157769600;157769600;76689600;75480478;63687598;63687598
2017;"74918";"Recursos sob Supervisão do Fundo de Desenvolvimento do Nordeste/FDNE - Min Integração Nacional";"144";"Títulos de Responsabilidade do Tesouro Nacional - Outras Aplicações";"0";"Financeira";"5";"Inversões Financeiras";0;1019789205;1019789205;701115553;0;0
2017;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"135";"Cota-Parte do Adicional ao Frete para Renovação da Marinha Mercante";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";13420000;13420000;13420000;1067656;1067656;1067656
2017;"52902";"Fundo de Administração do Hospital das Forças Armadas";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;735000;735000;0;0;0
2017;"56901";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";48127090;48127090;48127090;48127090;38589902;38589902
2017;"30907";"Fundo Penitenciário Nacional - FUNPEN";"374";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;7868545;5973189;5973189;5973189
2017;"74912";"Recursos sob Supervisão do Fundo Nacional de Cultura";"150";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";8e+05;8e+05;8e+05;0;0;0
2017;"26298";"Fundo Nacional de Desenvolvimento da Educação";"100";"Recursos Ordinários";"7";"Emenda de bancada estadual";"4";"Investimentos";0;2.8e+07;2.8e+07;14265204;0;0
2017;"42902";"Fundo Nacional de Cultura";"118";"Contribuições sobre Concursos de Prognósticos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";26500000;26500000;26500000;18040601;1355403;847900
2017;"26298";"Fundo Nacional de Desenvolvimento da Educação";"113";"Contribuição do Salário-Educação";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";386081911;413622275;180879321;180783532;13869486;13869486
2017;"52921";"Fundo do Exército";"250";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";23441120;23441120;23441120;23425863;13483528;12959364
2017;"40901";"Fundo de Amparo ao Trabalhador";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;5099306;5099306;1460810;0;0
2017;"52902";"Fundo de Administração do Hospital das Forças Armadas";"169";"Contribuição Patronal para o Plano de Seguridade Social do Servidor Público";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";22204848;22204848;22204848;22184295;22184295;22184295
2017;"30912";"Fundo Nacional Antidrogas";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;8e+06;5666741;0;0;0
2017;"42902";"Fundo Nacional de Cultura";"118";"Contribuições sobre Concursos de Prognósticos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";41433301;41433301;43933301;16082039;6015297;6015297
2017;"55901";"Fundo Nacional de Assistência Social";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;25098379;25798379;18940162;0;0
2017;"74906";"Recursos sob Supervisão do Fundo de Terras e da Reforma Agrária/Banco da Terra - Presidência da República";"180";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";107792620;107792620;173480798;173480798;173480798;173480798
2017;"42902";"Fundo Nacional de Cultura";"150";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";1e+06;1e+06;1e+06;0;0;0
2017;"52931";"Fundo Naval";"281";"Recursos de Convênios";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";150000;150000;150000;0;0;0
2017;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"118";"Contribuições sobre Concursos de Prognósticos";"0";"Financeira";"5";"Inversões Financeiras";812049458;812049458;812049458;812049458;811503398;811503398
2017;"74918";"Recursos sob Supervisão do Fundo de Desenvolvimento do Nordeste/FDNE - Min Integração Nacional";"250";"Recursos Próprios Não-Financeiros";"0";"Financeira";"5";"Inversões Financeiras";32608249;32608249;32608249;0;0;0
2017;"56901";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"0";"Financeira";"9";"Reserva de Contingência";475180245;475180245;475180245;0;0;0
2017;"36901";"Fundo Nacional de Saúde";"118";"Contribuições sobre Concursos de Prognósticos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";7812351;7812351;7812351;6640498;6588885;6588885
2017;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"135";"Cota-Parte do Adicional ao Frete para Renovação da Marinha Mercante";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";7180000;7180000;7180000;3849013;3689244;3689244
2017;"14901";"Fundo Partidário";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";90613582;90613582;90613582;75933442;74556076;74556076
2017;"39902";"Fundo Nacional de Aviação Civil - FNAC";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;5e+06;356747;0;0;0
