"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"loa";"loa_mais_credito";"empenhado";"pago"
2026;"74916";"Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA";"3020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";0;79106518;79106518;79106518
2026;"30107";"Departamento de Polícia Rodoviária Federal";"1144";"Sinalização, engenharia de tráfego, engenharia de campo, policiamento, fiscalização, renovação de frota circulante, educação de trânsito e custeio do processo de habilitação de condutores de baixa renda";1421883421;1408296149;617424194;426930027
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";307030656;307030656;251301893;142521219
2026;"52931";"Fundo Naval";"1115";"Projetos do Comando da Marinha para Construção e Reparos de Embarcações em Estaleiros Brasileiros";426106289;361626003;94918504;44796460
2026;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1044";"Recursos do FISTEL destinados ao FUST";173067935;173067935;0;0
2026;"53101";"Ministério da Integração e do Desenvolvimento Regional - Administração Direta";"1182";"Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap)";688651;688651;0;0
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1118";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";2048381677;2048381677;1947842343;836505354
2026;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1055";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição do Segurado";268716387;358455613;229941000;208550000
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1119";"Recursos do FISTEL destinados ao CT-Infra e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";18738;0;0;0
2026;"25103";"Secretaria Especial da Receita Federal do Brasil";"3032";"FUNDAF - RFB";0;288112855;0;0
2026;"74102";"Recursos sob Supervisão do Ministério da Fazenda";"3083";"Reparação de Danos Causados a Interesses Difusos e Coletivos";0;118539677;118539677;118539677
2026;"44102";"Serviço Florestal Brasileiro - SFB";"1068";"FNDF - Fundo Nacional de Desenvolvimento Florestal";8199266;8199266;92000;18660
2026;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1101";"CT-Verde Amarelo (Programa de Estímulo à Interação Universidade-Empresa para o Apoio à Inovação) e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";758593752;758593752;559246170;402565761
