"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"3050";"Recursos Próprios Livres da UO";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;53760726;53760726;2741978;2741978
2025;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1044";"Recursos do FISTEL destinados ao FUST";"0";"Financeira";"5";"Inversões Financeiras";291033608;249982565;439548477;439548477;249982565;249982565
2025;"52931";"Fundo Naval";"1000";"Recursos Livres da União";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;12105045;13123045;13120100;6279439;5229834
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1136";"CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";248;248;248;248;248;248
2025;"26298";"Fundo Nacional de Desenvolvimento da Educação";"1000";"Recursos Livres da União";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";113782931;20681514;28920763;28920763;17228730;16695700
2025;"30907";"Fundo Penitenciário Nacional";"1121";"Recursos Livres da UO, com Recursos de Superávit Financeiro Vinculados à Amortização e ao Pagamento do Serviço da Dívida Pública Federal";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";79436080;32436080;308484700;308407065;287110505;286728713
2025;"01901";"Fundo Rotativo da Câmara dos Deputados";"1050";"Recursos Próprios Livres da UO";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";11291963;11291963;11291963;11284599;4518619;4515119
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1112";"CT-Amazônia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";719557;494769;494769;494769;494769;494769
2025;"30907";"Fundo Penitenciário Nacional";"3050";"Recursos Próprios Livres da UO";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";0;0;57372146;57117120;0;0
2025;"52931";"Fundo Naval";"1063";"Rede de Balizamento Marítimo, Fluvial e Lacustre";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";227851616;227851616;221715545;220187017;134656018;132997363
2025;"81901";"Fundo Nacional para a Criança e o Adolescente - FNCA";"1096";"Doações Nacionais";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";4e+06;4e+06;4e+06;4e+06;4e+06;4e+06
2025;"26298";"Fundo Nacional de Desenvolvimento da Educação";"1134";"Recursos Próprios destinados à Educação Básica, vedado o Pagamento de Despesas com Pessoal";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";219915631;153940942;0;0;0;0
2025;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"3125";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição Patronal";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";0;0;3848736;3848736;3848736;0
2025;"74916";"Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA";"1072";"Desenvolvimento de Atividades de Gestão Ambiental Relacionadas à Cadeia Produtiva do Petróleo, ou apoio a projetos ou estudos e financiamento de empreendimentos que visem à mitigação da mudança do clima e à adaptação à mudança do clima e aos seus efeitos";"0";"Financeira";"5";"Inversões Financeiras";302438361;210506853;74765531;74765531;74765531;74765531
2025;"74913";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO - MDR";"1207";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Norte";"0";"Financeira";"5";"Inversões Financeiras";5496623842;5589063328;5837758212;5837758212;5531561989;5531561989
