"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2021;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Primários de Livre Aplicação";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";0;0;6161598;5706691;5706691;5706691
2021;"20927";"Fundo de Imprensa Nacional";"150";"Recursos Próprios Primários de Livre Aplicação";"0";"Financeira";"9";"Reserva de Contingência";42387546;50926843;50926843;0;0;0
2021;"52932";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"150";"Recursos Próprios Primários de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";75000;75000;75000;75000;0;0
2021;"36901";"Fundo Nacional de Saúde";"100";"Recursos Primários de Livre Aplicação";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;40096400;40096400;40096400;40096400
2021;"74905";"Recursos sob Sup. do Fundo p/ Desenv.Tecnol. das Telecomunic./FUNTTEL-M.Comunicações";"166";"Recursos Financeiros de Aplicação Vinculada";"0";"Financeira";"5";"Inversões Financeiras";45070862;45070862;109547961;103584506;103584506;103584506
2021;"54902";"Fundo Nacional de Cultura";"130";"Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";13500000;13500000;1885303;1885303;0;0
2021;"52902";"Fundo de Administração do Hospital das Forças Armadas";"151";"Recursos Livres da Seguridade Social";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;6549090;6549090;6549090;4272944;4270912
2021;"36901";"Fundo Nacional de Saúde";"151";"Recursos Livres da Seguridade Social";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";4440888;4440888;8171843123;8168802682;7892243291;7791802588
2021;"52902";"Fundo de Administração do Hospital das Forças Armadas";"118";"Receitas de Concursos de Prognósticos";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";31083079;24533989;26905866;26905864;24591433;24351642
2021;"36901";"Fundo Nacional de Saúde";"341";"Compensações Financeiras pela Exploração de Recursos Minerais";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;1993182295;379182171;378293830;378293830
2021;"93481";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES(74902)";"944";"Títulos de Responsabilidade do Tesouro Nacional - Outras Aplicações - CONDICIONADOS";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";325625911;325625911;0;0;0;0
2021;"44901";"Fundo Nacional de Meio Ambiente - FNMA";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";263693;263693;21711;21710;21710;21710
2021;"52931";"Fundo Naval";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";75000;0;317801;317641;46021;17687
2021;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Primários de Livre Aplicação";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;723466;723462;55016;55016
2021;"52921";"Fundo do Exército";"100";"Recursos Primários de Livre Aplicação";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;33698937;33698928;22307518;4389621
