"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"loa";"loa_mais_credito";"empenhado";"pago"
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"3102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";0;1434073;1434073;1434073
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"9102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";2252359;0;0;0
2024;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1108";"CT-Energia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";436021093;396021093;396021093;396021093
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"9098";"CT-Agronegócio e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";3941628;0;0;0
2024;"39252";"Departamento Nacional de Infraestrutura de Transportes - DNIT";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";876312767;700827887;692454962;548733987
2024;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"3055";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição do Segurado";0;634744;634744;634744
2024;"30107";"Departamento de Polícia Rodoviária Federal";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";1153022953;1074748630;827031896;567766669
2024;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1118";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";57111889;187155680;187155680;187155680
2024;"41903";"Fundo para o Desenvolvimento Tecnológico das Telecomunicações - FUNTTEL";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";0;983656;983656;0
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1104";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";472610559;4648062;4648062;4648062
2024;"39250";"Agência Nacional de Transportes Terrestres - ANTT";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";47458053;47093053;1785052;1760953
2024;"73108";"Transferências Constitucionais - Recursos sob Supervisão do Ministério da Fazenda";"3202";"Transferência Constitucional do Fundo de Participação dos Estados e do Distrito Federal";0;105387831;105387831;105387831
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"9097";"CT-Aeronáutico e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";1689269;0;0;0
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";421833160;421833160;421833160;366895195
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1118";"CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";1446547710;1269699124;1269699124;780998769
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"9100";"CT-Saúde e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";3941628;0;0;0
2024;"52931";"Fundo Naval";"1115";"Projetos do Comando da Marinha para Construção e Reparos de Embarcações em Estaleiros Brasileiros";475870643;372876934;45761161;21414190
2024;"30905";"Fundo de Defesa de Direitos Difusos";"3083";"Reparação de Danos Causados a Interesses Difusos e Coletivos";0;51536360;50689152;0
2024;"39905";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";720874487;690793695;54359750;26386219
2024;"25103";"Secretaria Especial da Receita Federal do Brasil";"1032";"FUNDAF - RFB";14391732355;14005743927;8710271348;7795009814
2024;"42902";"Fundo Nacional de Cultura";"1029";"Fundo Setorial do Audiovisual - FSA, para o Desenvolvimento de Atividades Audiovisuais";655608501;655608501;6e+08;6e+08
2024;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";831856414;241856414;241856414;241856414
2024;"30905";"Fundo de Defesa de Direitos Difusos";"1083";"Reparação de Danos Causados a Interesses Difusos e Coletivos";610867332;603085972;59176021;27479807
