"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2024;"55901";"Fundo Nacional de Assistência Social";"1001";"Recursos Livres da Seguridade Social";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";25000;524848;3579848;3579848;0;0
2024;"52921";"Fundo do Exército";"1000";"Recursos Livres da União";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";4350000;3494017;4644943;4659336;2763317;2698513
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"3102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;1434073;1434073;1434073;1434073
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"3050";"Recursos Próprios Livres da UO";"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";0;0;21413622;21413619;12072773;9006401
2024;"30907";"Fundo Penitenciário Nacional";"1121";"Recursos Livres da UO, com Recursos de Superávit Financeiro Vinculados à Amortização e ao Pagamento do Serviço da Dívida Pública Federal";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";181493612;181493612;198350226;195803736;130748750;128623952
2024;"40901";"Fundo de Amparo ao Trabalhador";"1000";"Recursos Livres da União";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;20922657;20000003;20000001;5e+06;5e+06
2024;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"9102";"CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras";"2";"Primária discricionária, considerada no cálculo do RP";"5";"Inversões Financeiras";0;2252359;0;0;0;0
2024;"55901";"Fundo Nacional de Assistência Social";"1001";"Recursos Livres da Seguridade Social";"7";"Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;230368501;222821101;222243515;220202431;220202431
2024;"52902";"Fundo de Administração do Hospital das Forças Armadas";"1000";"Recursos Livres da União";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;18886403;18806676;14119983;11864736
2024;"14901";"Fundo Partidário";"1052";"Recursos Livres da UO";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;97931232;97931232;97931232;97931232
2024;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1108";"CT-Energia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";"0";"Financeira";"5";"Inversões Financeiras";436021093;436021093;396021093;396021093;396021093;396021093
2024;"36901";"Fundo Nacional de Saúde";"1049";"Recursos Próprios da UO para Aplicação em Seguridade Social";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";309243318;309243318;311784339;311784339;100578859;100578859
2024;"74917";"Recursos sob Supervisão do Fundo de Desenvolvimento da Amazônia/FDA - MDR";"3050";"Recursos Próprios Livres da UO";"0";"Financeira";"5";"Inversões Financeiras";0;0;6.41e+08;640044337;217039521;217039521
2024;"52903";"Fundo do Serviço Militar";"1050";"Recursos Próprios Livres da UO";"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";412030;412030;371123;370350;212962;212953
