"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2014;"52921";"Fundo do Exército";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";12956463;12956463;12956463;8305153;8305153;5928462
2014;"26298";"Fundo Nacional de Desenvolvimento da Educação";"100";"Recursos Ordinários";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";88056179;88056179;101093852;100616802;100616802;100068083
2014;"28904";"Fundo de Garantia para Promoção da Competitividade - FGPC";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;5400;5400;5400;5400
2014;"30912";"Fundo Nacional Antidrogas";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";4068584;4241569;4241569;2247630;2247630;172161
2014;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Ordinários";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";101185192;101185192;109414754;108509440;108509440;108509440
2014;"30912";"Fundo Nacional Antidrogas";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";205400172;205227187;205227187;165104897;165104897;13066529
2014;"33904";"Fundo do Regime Geral de Previdência Social";"300";"Recursos Ordinários ";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;623967295;623967295;623967295;623967295
2014;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"100";"Recursos Ordinários";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";917809932;917809932;1058614765;1058614763;1058614763;994745825
2014;"52921";"Fundo do Exército";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";189924115;189924115;189924115;148278290;148278290;120702534
2014;"52921";"Fundo do Exército";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";72533043;72533043;72533043;72514106;72514106;41004187
2014;"52903";"Fundo do Serviço Militar";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"0";"Financeira";"9";"Reserva de Contingência";0;138243;138243;0;0;0
2014;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";30360269;30360269;42033296;40905528;40905528;31305148
2014;"62901";"Fundo Nacional de Aviação Civil - FNAC";"100";"Recursos Ordinários";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";0;5e+05;5e+05;0;0;0
2014;"38901";"Fundo de Amparo ao Trabalhador";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;4e+06;0;0;0
2014;"52932";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"176";"Outras Contribuições Sociais";"0";"Financeira";"9";"Reserva de Contingência";0;3174768;3174768;0;0;0
2014;"36901";"Fundo Nacional de Saúde";"329";"Recursos de Concessões e Permissões ";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;8.7e+07;9754969;9754969;4395680
2014;"26298";"Fundo Nacional de Desenvolvimento da Educação";"112";"Recursos Destinados à Manutenção e Desenvolvimento do Ensino";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";0;0;18780000;18743069;18743069;18743069
2014;"26298";"Fundo Nacional de Desenvolvimento da Educação";"113";"Contribuição do Salário-Educação";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";2063319993;2063319993;1956420302;1833433119;1833433119;1144892018
2014;"52911";"Fundo Aeronáutico";"281";"Recursos de Convênios";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";1809000;1809000;1809000;976475;976475;116064
2014;"52932";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"135";"Cota-Parte do Adicional ao Frete para Renovação da Marinha Mercante";"0";"Financeira";"9";"Reserva de Contingência";37122268;40217433;40217433;0;0;0
