"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2015;"62901";"Fundo Nacional de Aviação Civil - FNAC";"280";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";20916211;20916211;20916211;9150334;2699631;1831685
2015;"28904";"Fundo de Garantia para Promoção da Competitividade - FGPC";"280";"Recursos Próprios Financeiros";"0";"Financeira";"9";"Reserva de Contingência";129930012;129930012;129930012;0;0;0
2015;"52931";"Fundo Naval";"250";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";16681000;16681000;20304573;20304227;15090553;12800284
2015;"64902";"Fundo Nacional do Idoso - FNI";"380";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;726436;0;0;0
2015;"20927";"Fundo de Imprensa Nacional";"150";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";5e+05;5e+05;5e+05;492337;349390;349000
2015;"14901";"Fundo Partidário";"100";"Recursos Ordinários";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";233285000;811285000;811285000;811285000;810666018;810666018
2015;"56901";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"0";"Financeira";"9";"Reserva de Contingência";281709531;281709531;281709531;0;0;0
2015;"36901";"Fundo Nacional de Saúde";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";66707754;66707754;66707754;66707754;66707754;66707754
2015;"56901";"Fundo Nacional de Segurança e Educação do Trânsito - FUNSET";"186";"Outras Receitas Vinculadas";"0";"Financeira";"9";"Reserva de Contingência";463274414;463274414;463274414;0;0;0
2015;"38901";"Fundo de Amparo ao Trabalhador";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;347039187;347039187;347039187;347039187
2015;"30907";"Fundo Penitenciário Nacional - FUNPEN";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";3e+06;3e+06;3e+06;3e+06;0;0
2015;"30907";"Fundo Penitenciário Nacional - FUNPEN";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";2500000;2500000;2500000;856391;839078;824878
2015;"74910";"Recursos sob Supervisão do Fundo Nacional de Desenv. Científico e Tecnológico/FNDCT - Min Ciência e Tecnologia";"134";"Compensações Financeiras pela Utilização de Recursos Hídricos";"0";"Financeira";"5";"Inversões Financeiras";70738443;70738443;70738443;70738443;70738443;70738443
2015;"52931";"Fundo Naval";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";198050137;198050137;204075313;164553169;130870345;117869700
2015;"52902";"Fundo de Administração do Hospital das Forças Armadas";"169";"Contribuição Patronal para o Plano de Seguridade Social do Servidor Público";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";15850000;15850000;15850000;15849986;15849986;15849986
2015;"36901";"Fundo Nacional de Saúde";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;2361244194;2360129139;432078184;0;0
2015;"26298";"Fundo Nacional de Desenvolvimento da Educação";"100";"Recursos Ordinários";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;31729000;31729000;7010360;0;0
2015;"56902";"Fundo Nacional de Habitação de Interesse Social - FNHIS";"180";"Recursos Próprios Financeiros";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;86956000;61985197;2163480;2163480
2015;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"100";"Recursos Ordinários";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;1950000;1950000;0;0;0
2015;"74905";"Recursos sob Supervisão do Fundo para o Desenv. Tecnol. das Telecomunicações/FUNTTEL - Min das Comunicações";"172";"Outras Contribuições Econômicas";"0";"Financeira";"5";"Inversões Financeiras";2e+08;2e+08;2e+08;2e+08;2e+08;2e+08
2015;"74901";"Recursos sob Supervisão do Fundo de Defesa da Economia Cafeeira/Funcafé - MAPA";"180";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";4126613090;4126613090;3316778732;3142946242;2327623807;2327623807
2015;"20927";"Fundo de Imprensa Nacional";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";21600000;21600000;21600000;21375243;21054568;21054568
2015;"36901";"Fundo Nacional de Saúde";"153";"Contribuição para Financiamento da Seguridade Social - COFINS";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;215910;215910;215910;215910
2015;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Ordinários";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;1100000;1100000;658600;0;0
2015;"42902";"Fundo Nacional de Cultura";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;6100000;6100000;0;0;0
2015;"62901";"Fundo Nacional de Aviação Civil - FNAC";"280";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";272000;272000;272000;0;0;0
2015;"74919";"Recursos sob Supervisão do Fundo de Desenvolvimento do Centro-Oeste/FDCO - Min Integração Nacional";"280";"Recursos Próprios Financeiros";"0";"Financeira";"5";"Inversões Financeiras";45104298;45104298;45104298;45104298;0;0
2015;"52931";"Fundo Naval";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";20250987;20250987;14557505;17753568;14821070;11397943
2015;"62901";"Fundo Nacional de Aviação Civil - FNAC";"386";"Outras Receitas Vinculadas";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";0;0;53515514;0;0;0
2015;"26298";"Fundo Nacional de Desenvolvimento da Educação";"113";"Contribuição do Salário-Educação";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";8.7e+07;8.7e+07;144585769;144581792;0;0
2015;"38901";"Fundo de Amparo ao Trabalhador";"150";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";499241;499241;499241;0;0;0
2015;"74919";"Recursos sob Supervisão do Fundo de Desenvolvimento do Centro-Oeste/FDCO - Min Integração Nacional";"100";"Recursos Ordinários";"0";"Financeira";"5";"Inversões Financeiras";1031089693;1031089693;1031089693;1031089692;0;0
2015;"52903";"Fundo do Serviço Militar";"100";"Recursos Ordinários";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;350000;350000;0;0;0
2015;"74901";"Recursos sob Supervisão do Fundo de Defesa da Economia Cafeeira/Funcafé - MAPA";"180";"Recursos Próprios Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1.43e+08;1.43e+08;1.43e+08;141791778;96899630;95802410
2015;"30905";"Fundo de Defesa de Direitos Difusos";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";17000;17000;17000;0;0;0
2015;"52931";"Fundo Naval";"280";"Recursos Próprios Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1.2e+07;1.2e+07;1.2e+07;1.2e+07;11999851;11996029
2015;"33904";"Fundo do Regime Geral de Previdência Social";"378";"Fundo de Fiscalização das Telecomunicações";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;1.38e+10;1.38e+10;1.38e+10;1.38e+10
2015;"74904";"Recursos sob Supervisão do Fundo da Marinha Mercante/FMM - Ministério dos Transportes";"135";"Cota-Parte do Adicional ao Frete para Renovação da Marinha Mercante";"0";"Financeira";"9";"Reserva de Contingência";0;98037750;98037750;0;0;0
2015;"52902";"Fundo de Administração do Hospital das Forças Armadas";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";52311547;52311547;52311547;52235212;44713857;42529138
2015;"52903";"Fundo do Serviço Militar";"180";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";994054;994054;994054;768081;529792;523671
2015;"74912";"Recursos sob Supervisão do Fundo Nacional de Cultura";"118";"Contribuições sobre Concursos de Prognósticos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";9e+05;9e+05;9e+05;0;0;0
2015;"26298";"Fundo Nacional de Desenvolvimento da Educação";"280";"Recursos Próprios Financeiros";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";0;0;375313492;0;0;0
2015;"74908";"Recursos sob Supervisão do Fundo Geral de Turismo/FUNGETUR - Ministério do Turismo";"187";"Alienação de Títulos e Valores Mobiliários";"0";"Financeira";"5";"Inversões Financeiras";957187;957187;957187;957187;0;0
2015;"44901";"Fundo Nacional de Meio Ambiente - FNMA";"174";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";5013643;5013643;5013643;3540431;957429;519027
2015;"33904";"Fundo do Regime Geral de Previdência Social";"150";"Recursos Próprios Não-Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";207562240;207562240;207562240;207562240;206837719;52459305
2015;"30912";"Fundo Nacional Antidrogas";"139";"Alienação de Bens Apreendidos";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";6360193;6360193;6360193;0;0;0
