"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2018;"52911";"Fundo Aeronáutico";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";5035700;5035700;5035700;5035430;239142;239142
2018;"26298";"Fundo Nacional de Desenvolvimento da Educação";"100";"Recursos Ordinários";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";22650797;133386122;20370797;20360523;10930268;10930268
2018;"55902";"Fundo do Regime Geral de Previdência Social";"180";"Recursos Próprios Financeiros";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";1580059379;1580059379;1749351418;257938645;257938645;257938645
2018;"39902";"Fundo Nacional de Aviação Civil - FNAC";"186";"Recursos Vinculados a Aplicações em Políticas Públicas Específicas";"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";165283491;165283491;59503620;57065641;6954244;6532545
2018;"26298";"Fundo Nacional de Desenvolvimento da Educação";"144";"Títulos de Responsabilidade do Tesouro Nacional - Outras Aplicações";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";0;1.5e+08;25600000;25597475;25420692;25420692
2018;"52932";"Fundo de Desenvolvimento do Ensino Profissional Marítimo";"135";"Cota-Parte do Adicional ao Frete para Renovação da Marinha Mercante";"0";"Financeira";"9";"Reserva de Contingência";24613273;24613273;24613273;0;0;0
2018;"81901";"Fundo Nacional para a Criança e o Adolescente - FNCA";"196";"Doações de Pessoas Físicas e Instituições Públicas e Privadas Nacionais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";263305;263305;0;0;0;0
2018;"36901";"Fundo Nacional de Saúde";"153";"Contribuição para Financiamento da Seguridade Social - COFINS";"7";"Emenda de bancada estadual";"3";"Outras Despesas Correntes";0;610502876;610502876;608253280;570383885;570383885
2018;"36901";"Fundo Nacional de Saúde";"153";"Contribuição para Financiamento da Seguridade Social - COFINS";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";78395783848;78344783848;76974867072;76969997330;71701891646;71478266736
2018;"52911";"Fundo Aeronáutico";"680";"Recursos Próprios Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;37332000;37369316;21500218;21500218
2018;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"141";"Compensações Financeiras pela Exploração de Recursos Minerais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"4";"Investimentos";4041430;4041430;4041430;4010642;3351124;3264016
2018;"81902";"Fundo Nacional do Idoso - FNI";"196";"Doações de Pessoas Físicas e Instituições Públicas e Privadas Nacionais";"0";"Financeira";"9";"Reserva de Contingência";11172168;11172168;11172168;0;0;0
2018;"81901";"Fundo Nacional para a Criança e o Adolescente - FNCA";"196";"Doações de Pessoas Físicas e Instituições Públicas e Privadas Nacionais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";9355548;9355548;0;0;0;0
2018;"30912";"Fundo Nacional Antidrogas";"374";"Taxas e Multas pelo Exercício do Poder de Polícia e Multas Provenientes de Processos Judiciais";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;46153577;46089817;66372;66372
2018;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"969";"Contribuição Patronal para o Plano de Seguridade Social do Servidor Público - CONDICIONADOS";"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";19073339;19073339;0;0;0;0
2018;"56902";"Fundo Nacional de Habitação de Interesse Social - FNHIS";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;1e+06;1e+06;499999;3500;3500
2018;"52911";"Fundo Aeronáutico";"250";"Recursos Próprios Não-Financeiros";"2";"Primária discricionária, não PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";302616066;302616066;267091830;272112984;186013904;185162433
2018;"42902";"Fundo Nacional de Cultura";"188";"Remuneração das Disponibilidades do Tesouro Nacional";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;31854205;27854205;17739185;6864833;6214575
