"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"loa";"loa_mais_credito";"empenhado";"pago"
2025;"25104";"Procuradoria-Geral da Fazenda Nacional";"1031";"FUNDAF - PGFN";4260631067;4255872349;1590325982;1424500026
2025;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1044";"Recursos do FISTEL destinados ao FUST";249982565;439548477;439548477;249982565
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1136";"CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";1218;511;511;511
2025;"25103";"Secretaria Especial da Receita Federal do Brasil";"3032";"FUNDAF - RFB";0;873516183;871568942;609192383
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1112";"CT-Amazônia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";3544058;3086262;3086262;1259199
2025;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"3125";"Benefícios do Regime Próprio de Previdência Social do FCDF – Contribuição Patronal";0;3848736;3848736;0
2025;"75101";"Recursos sob Supervisão do Ministério da Fazenda";"3020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";0;2021251256;2021251256;2021251256
2025;"74916";"Recursos sob Supervisão do Fundo Nacional sobre Mudança do Clima/FNMC - MMA";"1072";"Desenvolvimento de Atividades de Gestão Ambiental Relacionadas à Cadeia Produtiva do Petróleo, ou apoio a projetos ou estudos e financiamento de empreendimentos que visem à mitigação da mudança do clima e à adaptação à mudança do clima e aos seus efeitos";210506853;74765531;74765531;74765531
2025;"74913";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Norte/FNO - MDR";"1207";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Norte";5589063328;5837758212;5837758212;5531561989
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1119";"Recursos do FISTEL destinados ao CT-Infra e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";23286;23286;23286;3404
2025;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1106";"Recursos do FISTEL destinados ao CT-Espacial e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";2125504;0;0;0
2025;"41101";"Ministério das Comunicações - Administração Direta";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";339610450;360666144;354851307;229688145
2025;"74914";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Centro-Oeste/FCO - MDR";"9208";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Centro-Oeste";74490834;0;0;0
2025;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1103";"CT-Aquaviário e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";32616559;24295131;24295131;1469951
2025;"74915";"Recursos sob Supervisão do Fundo Constitucional de Financiamento do Nordeste/FNE - MDR";"9210";"Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Nordeste - Semiárido";111736251;0;0;0
2025;"25104";"Procuradoria-Geral da Fazenda Nacional";"3031";"FUNDAF - PGFN";0;95489564;73109310;4248286
2025;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"1124";"Fundo Garantidor do Fundo de Financiamento Estudantil - FG-FIES";507408393;507408393;5e+08;5e+08
2025;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3136";"CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;60729;60729;0
2025;"44102";"Serviço Florestal Brasileiro - SFB";"1068";"FNDF - Fundo Nacional de Desenvolvimento Florestal";5936503;5936503;2395583;134378
