"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2023;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"1052";"Recursos Livres da UO";"0";"Financeira";"5";"Inversões Financeiras";1255050992;1255050992;1255050992;1226040992;961029900;961029900
2023;"74920";"Recursos sob Supervisão do Fundo de Universalização dos Serviços de Telecomunicações - FUST – M. Comunicações";"1052";"Recursos Livres da UO";"0";"Financeira";"5";"Inversões Financeiras";423581662;423581662;596829375;596829375;596829375;596829375
2023;"40901";"Fundo de Amparo ao Trabalhador";"1040";"Seguro-Desemprego, Abono Salarial e Previdência Social";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";34107245957;34107245957;36498193974;36498193974;36352071186;36352071186
2023;"55901";"Fundo Nacional de Assistência Social";"1000";"Recursos Livres da União";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";8887525988;8326685142;9252150598;9252144407;9079851941;8486711335
2023;"52902";"Fundo de Administração do Hospital das Forças Armadas";"1000";"Recursos Livres da União";"0";"Financeira";"1";"Pessoal e Encargos Sociais";16202810;16202810;16508373;16436761;16436761;16436761
2023;"39902";"Fundo Nacional de Aviação Civil - FNAC";"1052";"Recursos Livres da UO";"0";"Financeira";"9";"Reserva de Contingência";2343902456;2343902456;0;0;0;0
2023;"73901";"Fundo Constitucional do Distrito Federal - FCDF";"1000";"Recursos Livres da União";"0";"Financeira";"1";"Pessoal e Encargos Sociais";211681502;211681502;206042271;206042271;205294782;188474626
2023;"33904";"Fundo do Regime Geral de Previdência Social";"1123";"Seguridade Social, com Recursos de Superávit Financeiro Vinculados à Amortização e ao Pagamento do Serviço da Dívida Pública Federal";"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;0;3719185696;3719185696;2808742454;2808742454
2023;"26298";"Fundo Nacional de Desenvolvimento da Educação";"1133";"Educação Básica, Vedado o Pagamento de Despesas com Pessoal";"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;19281043;19522559;17727159;0;0
2023;"55901";"Fundo Nacional de Assistência Social";"1000";"Recursos Livres da União";"8";"Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP";"4";"Investimentos";0;150000;150000;1e+05;0;0
